,Unnamed: 0,dataset_id,transformer,clf,noise_level,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy
190,190,40996,DAE,KNeighborsClassifier,50.0,0.63088197480072,0.6159945142073459,0.5967942399177131,0.6145569096419263
191,191,40996,DAE,DecisionTreeClassifier,50.0,0.6263821033684752,0.6172373891055587,0.6288089829854713,0.6241428251531683
192,192,40996,AE,LogisticRegression,50.0,0.7489500299991428,0.7465820940299147,0.7501392877041101,0.7485571372443892
193,193,40996,AE,GaussianNB,50.0,0.5249850004285592,0.4702352890755582,0.5380791154159346,0.5110998016400173
194,194,40996,AE,KNeighborsClassifier,50.0,0.3922173652181366,0.34761925170359576,0.3945056357947971,0.3781140842388431
195,195,40996,AE,DecisionTreeClassifier,50.0,0.5282849061455387,0.5229503278618266,0.5331504735781939,0.5281285691951864
196,196,40996,None,LogisticRegression,50.0,0.7417073797891489,0.7353105044357776,0.7419105987228389,0.7396428276492552
197,197,40996,None,GaussianNB,50.0,0.2410216850947116,0.2335747653537908,0.25950370719581706,0.24470005254810645
198,198,40996,None,KNeighborsClassifier,50.0,0.405588411759664,0.4100630009000129,0.4035486221231732,0.40640001159428335
199,199,40996,None,DecisionTreeClassifier,50.0,0.5540413131053399,0.5499935713367334,0.5462220888869841,0.5500856577763525
200,200,40668,VAE,LogisticRegression,5.0,0.6828011901061326,0.6773391358408455,0.6845774679159821,0.68157259795432
201,201,40668,VAE,GaussianNB,5.0,0.6210755362138638,0.6312891336204982,0.6155246680580843,0.6226297792974821
202,202,40668,VAE,KNeighborsClassifier,5.0,0.6796482969936498,0.6822683067631777,0.6743638705093477,0.6787601580887251
203,203,40668,VAE,DecisionTreeClassifier,5.0,0.5827523424663618,0.5979839246858208,0.5839069230427639,0.5882143967316488
204,204,40668,SAE,LogisticRegression,5.0,0.689817487455038,0.6919046138816111,0.7029175363026777,0.6948798792131089
205,205,40668,SAE,GaussianNB,5.0,0.6411918824104089,0.676673031662152,0.6755184510857498,0.6644611217194369
206,206,40668,SAE,KNeighborsClassifier,5.0,0.6916825791553799,0.6764065899906745,0.6902615569075004,0.6861169086845184
207,207,40668,SAE,DecisionTreeClassifier,5.0,0.6120165193836316,0.6119721124383853,0.6114392290954305,0.6118092869724824
208,208,40668,DAE,LogisticRegression,5.0,0.6971890403659132,0.7031395710289089,0.7090012878014121,0.7031099663987447
209,209,40668,DAE,GaussianNB,5.0,0.6921710555530886,0.6969670056396821,0.7021182112882455,0.6970854241603387
210,210,40668,DAE,KNeighborsClassifier,5.0,0.7114436697899551,0.7142413073404681,0.7157067365335938,0.7137972378880058
211,211,40668,DAE,DecisionTreeClassifier,5.0,0.6128158443980638,0.6175229805941649,0.6111283804787069,0.6138224018236452
212,212,40668,AE,LogisticRegression,5.0,0.7031395710289089,0.6954127625560638,0.7062924641413917,0.7016149325754547
213,213,40668,AE,GaussianNB,5.0,0.7014077001643056,0.6873306985212487,0.6991429459567476,0.6959604482141007
214,214,40668,AE,KNeighborsClassifier,5.0,0.6955903903370487,0.6946578444868777,0.7015409210000444,0.6972630519413237
215,215,40668,AE,DecisionTreeClassifier,5.0,0.611528042985923,0.5960744260402326,0.6118388916026467,0.6064804535429341
216,216,40668,None,LogisticRegression,5.0,0.7285847506550024,0.7217016741418358,0.7256982992139971,0.7253282413369452
217,217,40668,None,GaussianNB,5.0,0.587681513388694,0.5903903370487145,0.5868821883742618,0.5883180129372234
218,218,40668,None,KNeighborsClassifier,5.0,0.7329810382343799,0.7383986855544207,0.738443092499667,0.7366076054294893
219,219,40668,None,DecisionTreeClassifier,5.0,0.6684133398463521,0.6706336871086638,0.6700563968204627,0.6697011412584928
220,220,40668,VAE,LogisticRegression,10.0,0.6723655579732671,0.6743638705093477,0.6726764065899907,0.6731352783575351
221,221,40668,VAE,GaussianNB,10.0,0.6209423153781252,0.6320440516896842,0.6109063457524757,0.6212975709400951
222,222,40668,VAE,KNeighborsClassifier,10.0,0.6450108797015853,0.6425684977130424,0.6356410142546294,0.6410734638897523
223,223,40668,VAE,DecisionTreeClassifier,10.0,0.5683644922065811,0.561214974021937,0.5610817531861984,0.5635537398049055
224,224,40668,SAE,LogisticRegression,10.0,0.6861761179448466,0.6899063013455304,0.6841778054087659,0.6867534082330476
225,225,40668,SAE,GaussianNB,10.0,0.6724099649185132,0.6633065411430348,0.677427949731338,0.6710481519309619
226,226,40668,SAE,KNeighborsClassifier,10.0,0.6681913051201208,0.6634841689240197,0.6629068786358187,0.6648607842266531
227,227,40668,SAE,DecisionTreeClassifier,10.0,0.5863937119765531,0.5945201829566145,0.5875038856077089,0.5894725935136255
228,228,40668,DAE,LogisticRegression,10.0,0.6983880278875616,0.6928815666770283,0.6915493583196411,0.6942729842947437
229,229,40668,DAE,GaussianNB,10.0,0.6959456458990186,0.6878635818642036,0.6835561081753186,0.6891217786461804
