,labeled_data,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,dataset_id,transformer,mean_test_accuracy
127,0.4,0.8196194394445873,0.8171688166973814,0.8202974328204689,40996,No AE,0.8190285629874792
128,0.45,0.8243764463872459,0.8244546350662152,0.8244117773111045,40996,No AE,0.8244142862548552
129,0.5,0.831233393331619,0.8220974585351222,0.8276689666995243,40996,No AE,0.8269999395220884
130,0.55,0.8337190365989543,0.8343547764968071,0.8309690138430549,40996,No AE,0.8330142756462721
131,0.6000000000000001,0.8378332047655781,0.8326404662923756,0.8336690524150345,40996,No AE,0.8347142411576627
132,0.6500000000000001,0.8360332561926802,0.8353405048643552,0.8373119615994514,40996,No AE,0.8362285742188291
133,0.7000000000000001,0.8366760949687152,0.8396691381305447,0.8385119787425535,40996,No AE,0.8382857372806045
134,0.7500000000000001,0.8416473815033856,0.8374405348647838,0.8381262589465563,40996,No AE,0.8390713917715752
135,0.8,0.8408759749721436,0.8417263103758625,0.8421120301718596,40996,No AE,0.8415714385066219
136,0.8500000000000001,0.8440044570155139,0.841426306090087,0.8433977628251832,40996,No AE,0.8429428419769279
137,0.9000000000000001,0.8441330247707208,0.8429263275189646,0.8442120601722882,40996,No AE,0.8437571374873246
138,0.95,0.8456758378332048,0.8443406334376206,0.8433549050700724,40996,No AE,0.8444571254469659
139,1.0,0.8487186080397703,0.8465263789482707,0.8457977971113873,40996,No AE,0.8470142613664761
140,0.05,0.7870917973772178,0.8015685938370548,0.7962113744482064,40996,AE,0.7949572552208263
141,0.1,0.8102339933144768,0.8045686366948099,0.8098401405734368,40996,AE,0.8082142568609078
142,0.15000000000000002,0.8230050569983715,0.8283546907812969,0.8238117687395534,40996,AE,0.8250571721730738
143,0.2,0.8438758892603069,0.8364976642523465,0.8346976385376934,40996,AE,0.8383570640167823
144,0.25,0.8467472357932628,0.8453692195602794,0.8423691767025243,40996,AE,0.8448285440186889
145,0.3,0.8472615068140911,0.8541550593579909,0.8510264432349034,40996,AE,0.8508143364689951
146,0.35000000000000003,0.8594325876403531,0.8553550765010929,0.8593408477263961,40996,AE,0.8580428372892808
147,0.4,0.861103968458044,0.8623408905841512,0.8611408734410492,40996,AE,0.8615285774944148
148,0.45,0.8659895431559098,0.863798054257918,0.8619551707881541,40996,AE,0.8639142560673273
149,0.5,0.8692894488728894,0.8675266789525564,0.8651695024214632,40996,AE,0.8673285434156363
150,0.55,0.8695894403017057,0.8662838040543437,0.8678695409934427,40996,AE,0.867914261783164
151,0.6000000000000001,0.8689894574440731,0.8705267218103115,0.8694124201774311,40996,AE,0.869642866477272
152,0.6500000000000001,0.8729750578554898,0.8732696181374019,0.86662666609523,40996,AE,0.8709571140293738
153,0.7000000000000001,0.8721179394874432,0.8723696052800755,0.8721553165045215,40996,AE,0.87221428709068
154,0.7500000000000001,0.8739607439787435,0.8748553550765011,0.8715124501778597,40996,AE,0.8734428497443679
155,0.8,0.8749892860203994,0.8754982214031629,0.8739981999742853,40996,AE,0.874828569132616
156,0.8500000000000001,0.8783749035741836,0.8789268418120258,0.8737839111987314,40996,AE,0.8770285521949802
157,0.9000000000000001,0.8786320390845976,0.8775982514035915,0.8750696438520551,40996,AE,0.8770999781134147
158,0.95,0.8788463186766092,0.8775125358933699,0.8766553807911541,40996,AE,0.8776714117870444
159,1.0,0.8792320219422303,0.8802554322204603,0.8766125230360434,40996,AE,0.8786999923995781
