,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_accuracy,hidden_dims,type
46,1492,2.7969110806783046,0.1257748628984138,0.0010932286580403645,0.0002012045954115789,0.5899977279807371,0.35000000000000003,PCA
47,1492,2.7304130395253505,0.510744807819252,0.0009725093841552734,3.7394999660227983e-05,0.5699746798678013,0.4,PCA
48,1492,3.4881066481272383,0.5692462030527345,0.0009564558664957682,1.0891551736418339e-05,0.5812364000908808,0.45,PCA
49,1492,2.8318660259246826,0.2190673893884316,0.0009301503499348961,3.8775752170032795e-05,0.5731051476461179,0.5,PCA
50,1492,2.7112916310628257,0.1293469386124492,0.0009674231211344401,3.8228510763168075e-05,0.5680973361159715,0.55,PCA
51,1492,2.8970128695170083,0.18154868641194588,0.0009685357411702474,5.649844038383555e-06,0.5843598410054973,0.6000000000000001,PCA
52,1492,2.7267616589864097,0.2298232738540735,0.00103759765625,3.154762230386944e-05,0.5812246886513809,0.6500000000000001,PCA
53,1492,2.701297839482625,0.18499269876697708,0.0010437965393066406,1.636600713894893e-05,0.5862325001815273,0.7000000000000001,PCA
54,1492,2.7858031590779624,0.11209401917528196,0.0010708967844645183,3.580320687863941e-05,0.5881098439333572,0.7500000000000001,PCA
55,1492,2.8968361218770347,0.4312443712919862,0.0012811819712320964,0.00024143695202941132,0.5799762492006942,0.8,PCA
56,1492,2.9946079254150386,0.6183427356322091,0.001226663589477539,0.0003034875286251393,0.5799926452159941,0.8500000000000001,PCA
57,1492,2.2238200505574546,0.14599712082391686,0.0011699199676513672,0.00018273017507188595,0.5799903029280941,0.9000000000000001,PCA
58,1492,2.289067029953003,0.19020664450220706,0.0010346571604410806,1.8704676611822088e-05,0.5762239039849344,0.9500000000000001,PCA
59,1492,2.7430044015248622,0.3104189790778217,0.0010567506154378254,8.490052534545639e-05,0.5856129650319839,1.0,PCA
60,44,0.027143557866414387,0.003067741170398823,0.0011754830678304036,0.0002071530786175343,0.8026529490425474,0.05,PCA
61,44,0.05831599235534667,0.016454213141444792,0.0011074542999267578,3.936915739854444e-06,0.804825775571074,0.1,PCA
62,44,0.0628372033437093,0.011439463198173041,0.0012294451395670574,8.611110808383285e-05,0.8598146300723499,0.15000000000000002,PCA
63,44,0.06991918881734213,0.001403519453551283,0.001278241475423177,2.0433027078658854e-05,0.8724189800344897,0.2,PCA
64,44,0.09488073984781903,0.01809931638721048,0.00633700688680013,0.0071248041497022924,0.88437314046787,0.25,PCA
65,44,0.11686984697977702,0.022189383762686463,0.001300493876139323,2.6113335377257167e-05,0.8848078758689392,0.3,PCA
66,44,0.17846465110778809,0.030081707513307968,0.0013318856557210286,3.5360153748721044e-05,0.8917627918092279,0.35000000000000003,PCA
67,44,0.30716904004414874,0.017810391884078892,0.002190113067626953,0.0011928236311170431,0.9006755053887628,0.4,PCA
68,44,0.2617340882619222,0.039336142139632366,0.00131988525390625,2.774137884370913e-05,0.9028491823941092,0.45,PCA
69,44,0.32848318417867023,0.05734701701203965,0.0027674833933512373,0.0020396351307937115,0.908716905466383,0.5,PCA
70,44,0.8039351304372152,0.3104806123087928,0.0018850962320963547,0.0007228067381286115,0.9178442226967884,0.55,PCA
71,44,0.6971797943115234,0.2168176633636517,0.0013565222422281902,8.385136195667513e-05,0.9165411504626736,0.6000000000000001,PCA
72,44,1.0621723333994548,0.2229425154496404,0.002535581588745117,0.0012962857830961408,0.9202368974832408,0.6500000000000001,PCA
