,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,hidden_dims,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_reconstruction_error,split1_test_reconstruction_error,split2_test_reconstruction_error,mean_test_reconstruction_error,std_test_reconstruction_error,rank_test_reconstruction_error,ae_mean_fit_time,ae_std_fit_time,ae_mean_score_time,ae_std_score_time,compression
326,40668,55.76388120651245,7.692102589730593,0.11214756965637207,0.0181416362631914,1.4500000000000002,SAE,"{'ae__hidden_dims': 1.4500000000000002, 'ae__type': 'sae'}",0.7414627647764109,0.7491895732492562,0.7498556774279498,0.7468360051512057,0.0038091738201531814,23,0.0009132053237408401,0.0008939801482483745,0.0011839756043627858,0.0009970536921173334,0.00013240657788619992,73.0,53.7817570368449,9.188396237516004,0.025426785151163738,0.0008274088008593213,0.689655172413793
327,40668,42.26846170425415,8.32255422920351,0.1019147237141927,0.023435580367200427,1.5000000000000002,AE,"{'ae__hidden_dims': 1.5000000000000002, 'ae__type': 'ae'}",0.7332474799058573,0.730005772902882,0.7379102091567121,0.7337211539884838,0.0032443081928335065,74,0.0002775786560960114,0.0005440870299935341,0.0005120449932292104,0.00044457022643958527,0.00011880323074832928,110.0,42.86059641838073,7.387254540804559,0.02458429336547852,0.0006312701186399403,0.6666666666666665
328,40668,68.48819716771443,5.5401444793042005,0.0837860107421875,0.004479485650971364,1.5000000000000002,DAE,"{'ae__hidden_dims': 1.5000000000000002, 'ae__type': 'dae'}",0.7422620897908433,0.7518095830187841,0.747280074603668,0.7471172491377652,0.003899447895420897,22,0.0070719211362302295,0.009653124026954174,0.007784199435263872,0.00816974819948276,0.0010884661923898367,29.0,66.65189472834271,22.541689648183407,0.02414790789286296,0.0003771614297913667,0.6666666666666665
329,40668,56.64854176839194,16.408437937318926,0.09557056427001953,0.011607631645325234,1.5000000000000002,SAE,"{'ae__hidden_dims': 1.5000000000000002, 'ae__type': 'sae'}",0.7429726009147831,0.7510990718948444,0.7435498912029841,0.7458738546708705,0.0037022954408940656,24,0.0004791059182025492,0.000414174486650154,0.0005935136578045785,0.0004955980208857605,7.413782959584662e-05,104.0,71.81082677841188,8.38313871363305,0.025877316792805992,0.0008746810594515343,0.6666666666666665
330,40668,38.80576475461324,2.0701989614083565,0.09604978561401367,0.009141138337954923,1.55,AE,"{'ae__hidden_dims': 1.55, 'ae__type': 'ae'}",0.739020382787868,0.7321817132199476,0.7383986855544207,0.7365335938540788,0.003087693384260941,59,0.0011314834700897336,0.0005882371915504336,0.0002474235079716891,0.0006557147232039523,0.0003640562384335496,89.0,48.13748486836752,15.505292172178502,0.02637910842895508,0.0007640703829460202,0.6451612903225806
331,40668,62.48558561007182,8.647847843600672,0.09841958681742352,0.013917846018235577,1.55,DAE,"{'ae__hidden_dims': 1.55, 'ae__type': 'dae'}",0.7453705759580799,0.7524312802522315,0.7497668635374573,0.7491895732492563,0.0029112808567136697,14,0.00812496617436409,0.008179898373782635,0.007917657494544983,0.00807417401423057,0.00011292313708626788,32.0,64.11065530776979,5.077592308293645,0.02603904406229655,0.00018144539780667724,0.6451612903225806
332,40668,52.639295419057206,2.0856858528579822,0.10550872484842937,0.018636566278155242,1.55,SAE,"{'ae__hidden_dims': 1.55, 'ae__type': 'sae'}",0.7484790621253165,0.7498112704827035,0.7483014343443315,0.7488639223174505,0.0006737899360090246,18,0.000471979525173083,0.0004956605262123048,0.0002533821098040789,0.0004070073870631556,0.00010905882758783912,112.0,73.3131314118703,6.3212519531448645,0.02747432390848796,0.002668109458710237,0.6451612903225806
333,40668,42.80781364440918,8.069570053026897,0.1205581823984782,0.01896477527938334,1.6,AE,"{'ae__hidden_dims': 1.6, 'ae__type': 'ae'}",0.7393756383498379,0.7398197078023003,0.7388871619521293,0.739360836034756,0.00038085410335772697,47,0.0008300796616822481,0.0003693444887176156,0.0004525458498392254,0.0005506566667463629,0.00020048029694931264,97.0,53.397291660308845,15.983464799359634,0.02709627151489257,0.002323260674013309,0.625
334,40668,73.50381851196289,20.082035305125178,0.09243957201639813,0.011518712490553943,1.6,DAE,"{'ae__hidden_dims': 1.6, 'ae__type': 'dae'}",0.7477685510013766,0.7558950219814379,0.7534970469381411,0.7523868733069853,0.003409227357816807,9,0.006637662183493376,0.007565703243017197,0.008638662286102772,0.007614009237537781,0.0008176186782319617,39.0,70.89755328496297,16.343816584379038,0.026548385620117188,0.0007437258826914025,0.625
335,40668,54.719462553660065,4.456773079283859,0.13315518697102866,0.01678562096164039,1.6,SAE,"{'ae__hidden_dims': 1.6, 'ae__type': 'sae'}",0.7476797371108841,0.7517207691282917,0.7456814245748035,0.7483606436046597,0.002512123391195357,20,0.00015061759040690956,0.0005410019657574594,0.00023970927577465773,0.00031044294397967564,0.00016703777814766515,118.0,83.2971621354421,11.028154841019775,0.0254064400990804,0.0005245726853607732,0.625
336,40668,42.42108980814616,4.172612010722824,0.09312176704406737,0.01855599992707069,1.65,AE,"{'ae__hidden_dims': 1.6500000000000001, 'ae__type': 'ae'}",0.7367556285803101,0.7351125716061992,0.7380878369376971,0.7366520123747354,0.0012168547398235276,58,0.0002851473982445896,0.00029127069865353405,0.0004658646648749709,0.0003474275872576982,8.378496172887851e-05,116.0,48.62433052062988,8.182930484234106,0.02422014872233073,0.0009845864138653326,0.6060606060606061
