dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,latent_activation,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
40668,86.20576246579488,6.5251500600228125,0.019489844640096027,0.0028252459667437568,selu,dae,"{'ae__latent_activation': 'selu', 'ae__type': 'dae'}",0.733558328522581,0.7256982992139971,0.7324925618366712,0.7305830631910831,0.003481345907459407,1
40668,89.31934332847595,6.999455453570864,0.020590941111246746,0.001766559522532824,relu,sae,"{'ae__latent_activation': 'relu', 'ae__type': 'sae'}",0.710866379501754,0.7118433322971712,0.7225009991562681,0.7150702369850644,0.005269457848448401,10
40668,74.68181435267131,13.002431048228361,0.02136691411336263,0.0042072246012340424,relu,ae,"{'ae__latent_activation': 'relu', 'ae__type': 'ae'}",0.7223677783205293,0.7286291576002487,0.7268528797903993,0.7259499385703925,0.002634728924224187,3
40668,77.5580865542094,11.768792830185498,0.03813338279724121,0.017743592002433892,relu,dae,"{'ae__latent_activation': 'relu', 'ae__type': 'dae'}",0.7281850881477863,0.7309383187530529,0.7281850881477863,0.7291028316828752,0.0012978853541029346,2
40996,160.87407398223877,20.50107120978627,0.1412686506907145,0.014930514919414228,sigmoid,sae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'sae'}",0.8774320733693323,0.8760125144644924,0.8763982342604895,0.8766142740314381,0.000599328378576778,6
40996,150.1372164885203,43.32433556162667,0.14605911572774252,0.015336756940000789,sigmoid,ae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'ae'}",0.878932030513414,0.8805982942613466,0.8771268160973729,0.8788857136240446,0.001417603400442049,3
40996,123.05404980977376,1.0713875393798074,0.14889160792032877,0.0019649400169283247,sigmoid,dae,"{'ae__latent_activation': 'sigmoid', 'ae__type': 'dae'}",0.883731893374475,0.8844126344662067,0.8853126473235332,0.8844857250547383,0.0006474063316880712,1
40996,93.65616885821025,30.94651067899698,0.1522498925526937,0.01161779534947485,tanh,sae,"{'ae__latent_activation': 'tanh', 'ae__type': 'sae'}",0.7073369332304791,0.7398534264775211,0.7339390562722324,0.7270431386600776,0.014142037643292492,12
40996,102.38834993044536,18.93947371504661,0.22468392054239908,0.003353384791898738,tanh,ae,"{'ae__latent_activation': 'tanh', 'ae__type': 'ae'}",0.8753749892860204,0.8786268375262504,0.8731410448720696,0.8757142905614468,0.002252380115610374,8
40996,89.15036424001057,5.95371389027716,0.20737075805664062,0.03581801222904505,tanh,dae,"{'ae__latent_activation': 'tanh', 'ae__type': 'dae'}",0.8778177766349533,0.8781125444649209,0.8794839926284661,0.8784714379094467,0.0007260267729921916,4
40996,85.62188736597697,3.2932097506471383,0.12881056467692056,0.015404666522637507,selu,sae,"{'ae__latent_activation': 'selu', 'ae__type': 'sae'}",0.8059055455558413,0.7963828054686496,0.7803540050572151,0.794214118693902,0.01054348794939187,10
40996,76.84352962176006,13.035236248974313,0.19773077964782715,0.05513084377131816,selu,ae,"{'ae__latent_activation': 'selu', 'ae__type': 'ae'}",0.8730607696922945,0.8750267860969443,0.8710838726267518,0.8730571428053301,0.0016096897266426081,9
40996,79.74558281898499,12.503791631337014,0.1213991641998291,0.016013248739626375,selu,dae,"{'ae__latent_activation': 'selu', 'ae__type': 'dae'}",0.884246164395303,0.8856126516093087,0.8828268975271075,0.8842285711772396,0.0011373473795390392,2
40996,100.25919723510742,13.144076633074123,0.13190730412801108,0.009017023354984409,relu,sae,"{'ae__latent_activation': 'relu', 'ae__type': 'sae'}",0.7996057255506985,0.8001542879183988,0.7808254403634337,0.7935284846108437,0.008985200054591849,11
40996,118.02507623036702,28.09910887716893,0.10149772961934407,0.006697960631441747,relu,ae,"{'ae__latent_activation': 'relu', 'ae__type': 'ae'}",0.8749035741835948,0.876483949770711,0.8761839454849355,0.8758571564797472,0.0006853174639159356,7
40996,111.2875874042511,25.113229507079115,0.10822439193725586,0.01212277863128392,relu,dae,"{'ae__latent_activation': 'relu', 'ae__type': 'dae'}",0.875460701122825,0.8796554236489093,0.8785839797711396,0.8779000348476247,0.001779468040644166,5
