,dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,activation,n_layers,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_reconstruction_error,split1_test_reconstruction_error,split2_test_reconstruction_error,mean_test_reconstruction_error,std_test_reconstruction_error,rank_test_reconstruction_error
85,40668,131.42932915687558,13.590994503436693,0.05103000005086263,0.009372898414313088,SELU,2,vae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'vae'}",0.7030507571384165,0.6998978640259337,0.6960788667347573,0.6996758292997024,0.0028505892390753443,35,0.04358915612101555,0.0474802628159523,0.04881807416677475,0.0466291643679142,0.0022179077841524733,26
86,40668,213.4923168818156,26.47349773945321,0.039712746938069664,0.0012552974845013519,SELU,2,dae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'dae'}",0.7105555308850304,0.7184599671388605,0.7096673919801056,0.7128942966679989,0.003952190407126683,16,0.015684453770518303,0.017137309536337852,0.01616411842405796,0.016328627243638042,0.0006044252547439871,41
87,40668,224.4745362599691,9.599909323014307,0.03920356432596842,0.0009360680071208787,SELU,2,sae,"{'ae__activation': 'selu', 'ae__n_layers': 2, 'ae__type': 'sae'}",0.7054931391269594,0.7083351836227186,0.6791598205959412,0.6976627144485398,0.013134867463342666,39,0.0004908875562250613,0.00029187503969296813,0.00044178197276778514,0.00040818152289527165,8.464922960009993e-05,79
88,40668,187.77194182078046,19.002526780037673,0.0410765806833903,0.0026191808603144872,SELU,3,ae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'ae'}",0.6931924152937521,0.711044007282739,0.7047826280030197,0.7030063501931703,0.007395323129232376,31,0.001889594248495996,0.0015030757058411837,0.0013731381623074412,0.001588602705548207,0.0002193442849334714,69
89,40668,185.10846368471783,16.280292731270002,0.047719081242879234,0.001650232324796333,SELU,3,vae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'vae'}",0.6863537457258315,0.6894622318930681,0.6955015764465562,0.6904391846884853,0.0037979406083748046,44,0.056233301758766174,0.05267438292503357,0.0491301603615284,0.05267928168177605,0.0028998474012324024,25
90,40668,179.44915350278217,33.682411028462376,0.04889678955078125,0.011463913784672156,SELU,3,dae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'dae'}",0.7140636795594831,0.7114880767352014,0.7057595807984369,0.7104371123643739,0.0034706299754621,21,0.015295884571969509,0.014819999225437641,0.018052484840154648,0.016056122879187267,0.0014249473733344415,43
91,40668,172.8466522693634,11.776660551936526,0.057919502258300774,0.019875310145591612,SELU,3,sae,"{'ae__activation': 'selu', 'ae__n_layers': 3, 'ae__type': 'sae'}",0.7079799280607487,0.7070917891558239,0.7085128114037036,0.7078615095400921,0.0005861417728207156,28,0.001588603132404387,0.0016429013339802625,0.0013441100018098948,0.001525204822731515,0.0001299578759882569,71
92,40668,129.9939948717753,23.71815515719285,0.05656282107035319,0.022975184911983117,SELU,4,ae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'ae'}",0.7056263599626982,0.7001198987521648,0.6899063013455304,0.6985508533534645,0.00651288406822377,36,0.003409737255424261,0.003668284974992275,0.004256194457411766,0.0037780722292761006,0.00035417733750341785,63
93,40668,237.02849586804712,34.665833105372265,0.049733877182006836,0.001912275041833589,SELU,4,vae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'vae'}",0.6656601092410853,0.6747191260713176,0.6770726941693681,0.6724839764939237,0.004919938611494386,63,0.08271583169698715,0.06924114376306534,0.08702009171247482,0.07965902239084244,0.007573234003055438,17
94,40668,139.17802135149634,6.503130432415298,0.05690058072408041,0.024678318791702226,SELU,4,dae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'dae'}",0.7000310848616723,0.7007415959856121,0.7070029752653315,0.702591885370872,0.003132569984008099,32,0.016850559040904045,0.015869377180933952,0.01624048314988613,0.01632013979057471,0.0004045065684575342,42
95,40668,132.6893208026886,27.102988540477014,0.061835447947184236,0.03153919877515459,SELU,4,sae,"{'ae__activation': 'selu', 'ae__n_layers': 4, 'ae__type': 'sae'}",0.6805808428438208,0.6862649318353391,0.6735201385496692,0.6801219710762764,0.005213147574348357,52,0.004603139590471983,0.004232184495776893,0.006394879426807165,0.005076734504352014,0.0009442921327695807,60
96,40668,120.34158285458881,15.657284095133207,0.05707359313964844,0.01860723072272481,SELU,5,ae,"{'ae__activation': 'selu', 'ae__n_layers': 5, 'ae__type': 'ae'}",0.6996314223544562,0.7077134863892712,0.6800479595008659,0.6957976227481978,0.011615187157883115,41,0.0057310350239276895,0.006641709245741367,0.00946681294590235,0.007279852405190469,0.0015904777457401672,55
97,40668,195.95462783177692,55.886217532571095,0.0468603769938151,0.001700791943411453,SELU,5,vae,"{'ae__activation': 'selu', 'ae__n_layers': 5, 'ae__type': 'vae'}",0.6648607842266531,0.6644611217194369,0.6614858563879391,0.6636025874446764,0.001505621755252762,71,0.10746604204177856,0.12089786678552628,0.14190933108329773,0.1234244133035342,0.014174451617379584,15
98,40668,166.54126842816672,6.180508399064793,0.046616713205973305,0.0028093327421887552,SELU,5,dae,"{'ae__activation': 'selu', 'ae__n_layers': 5, 'ae__type': 'dae'}",0.7081131488964875,0.7097117989253521,0.6991429459567476,0.7056559645928623,0.004651414071332165,30,0.016898738220334053,0.01791987009346485,0.01803700067102909,0.017618536328275997,0.0005112154667702823,39
99,40668,176.0709041754405,18.00882341131115,0.05186216036478678,0.007029766044361335,SELU,5,sae,"{'ae__activation': 'selu', 'ae__n_layers': 5, 'ae__type': 'sae'}",0.6761845552644433,0.6786269372529864,0.6805808428438208,0.6784641117870835,0.001798466053688914,57,0.0055693513713777065,0.0058150188997387895,0.004824620671570301,0.005402996980895598,0.000421091834809087,59
100,40668,407.58107797304785,3.326977301910795,0.03834676742553711,0.004224542918248917,ReLU,1,ae,"{'ae__activation': 'relu', 'ae__n_layers': 1, 'ae__type': 'ae'}",0.7122874017496337,0.7057595807984369,0.7144633420666993,0.7108367748715899,0.00369838737904356,20,0.009809598326683044,0.012402744963765144,0.01214468199759722,0.011452341762681804,0.0011663628997913699,48
101,40668,102.90530006090799,13.133613077920973,0.04016749064127604,0.001415885948094119,ReLU,1,vae,"{'ae__activation': 'relu', 'ae__n_layers': 1, 'ae__type': 'vae'}",0.7188152227008304,0.7216572671965895,0.7281850881477863,0.722885859348402,0.003922641425547823,4,0.05449741706252098,0.06185058131814002,0.058572657406330116,0.058306885262330375,0.003007793462204818,21
