,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
26,LogisticRegression,33.477938175201416,1.2649681568145752,0.9341590612777052,0.008034706115722656,29.924415349960327,2.4132933616638184,0.926336375488918,0.0026400089263916016,18.56308078765869,1.6539912223815918,0.9243313763861708,0.0039031505584716797,44,1.25,27.321811437606808,1.777417580286662,0.004859288533528646,0.9282756043842646
27,GaussianNB,33.477938175201416,0.004554271697998047,0.7966101694915254,0.0026831626892089844,29.924415349960327,0.004689693450927734,0.8122555410691004,0.002674102783203125,18.56308078765869,0.0028891563415527344,0.8662752772341813,0.0019145011901855469,44,1.25,27.321811437606808,0.004044373830159505,0.0024239222208658853,0.8250469959316024
28,DecisionTreeClassifier,33.477938175201416,0.2384662628173828,0.9022164276401564,0.0006787776947021483,29.924415349960327,0.3092904090881348,0.8813559322033898,0.001087665557861328,18.56308078765869,0.27904224395751953,0.8949771689497716,0.000946044921875,44,1.25,27.321811437606808,0.2755996386210124,0.0009041627248128256,0.8928498429311059
29,KNeighborsClassifier,33.477938175201416,0.014463186264038088,0.9256844850065188,0.4400520324707031,29.924415349960327,0.016937971115112305,0.922425032594524,0.5228173732757568,18.56308078765869,0.016132831573486328,0.9204174820613176,0.46202206611633295,44,1.25,27.321811437606808,0.015844662984212242,0.4749638239542643,0.9228423332207868
30,SVC,19.381587982177734,0.09023737907409668,0.7320730117340287,0.0376591682434082,28.492369174957275,0.08235716819763184,0.6786179921773142,0.03357863426208496,25.42357516288757,0.08186531066894531,0.7853881278538812,0.033629179000854485,44,1.5,24.432510773340866,0.08481995264689128,0.03495566050211588,0.7320263772550747
31,LinearSVC,19.381587982177734,0.0621800422668457,0.9289439374185136,0.0016546249389648438,28.492369174957275,0.03996896743774414,0.9230769230769232,0.0015187263488769533,25.42357516288757,0.03991389274597168,0.9269406392694064,0.0016396045684814453,44,1.5,24.432510773340866,0.047354300816853837,0.001604318618774414,0.9263204999216144
32,LogisticRegression,19.381587982177734,1.8702042102813718,0.9308996088657104,0.003309488296508789,28.492369174957275,0.7418768405914307,0.9159061277705346,0.010802507400512695,25.42357516288757,0.5186982154846191,0.9217221135029354,0.0012125968933105467,44,1.5,24.432510773340866,1.0435930887858074,0.005108197530110678,0.9228426167130602
33,GaussianNB,19.381587982177734,0.011041641235351562,0.8402868318122555,0.0018689632415771484,28.492369174957275,0.009859800338745115,0.8396349413298566,0.002939462661743164,25.42357516288757,0.008217096328735352,0.8649706457925636,0.002752065658569336,44,1.5,24.432510773340866,0.00970617930094401,0.0025201638539632163,0.8482974729782252
34,DecisionTreeClassifier,19.381587982177734,0.2468960285186768,0.9009126466753584,0.000835418701171875,28.492369174957275,0.24550700187683105,0.9002607561929595,0.0007987022399902344,25.42357516288757,0.2695977687835693,0.9015003261578604,0.0005095005035400392,44,1.5,24.432510773340866,0.2540002663930257,0.0007145404815673827,0.900891243008726
35,KNeighborsClassifier,19.381587982177734,0.01936244964599609,0.9230769230769232,0.5496783256530762,28.492369174957275,0.01757979393005371,0.9100391134289441,0.5077278614044191,25.42357516288757,0.016882896423339844,0.9256360078277888,0.5200223922729492,44,1.5,24.432510773340866,0.017941713333129883,0.5258095264434814,0.9195840147778852
